company,url,analytics_tools
Stripe,https://stripe.com,BLOCKED
Airbnb,https://airbnb.com,BLOCKED
Netflix,https://netflix.com,BLOCKED
Shopify,https://shopify.com,BLOCKED
Mixpanel,https://mixpanel.com,BLOCKED
